frame,track,x1,y1,x2,y2,cx,cy,height,score,ema,level
29,1,474,94,549,283,511.5,188.5,189.0,0.000,0.005,GREEN
30,1,474,94,548,283,511.0,188.5,189.0,0.850,0.343,YELLOW
31,1,473,96,546,282,509.5,189.0,186.0,0.850,0.546,YELLOW
31,2,469,50,545,155,507.0,102.5,105.0,0.000,0.000,GREEN
32,2,469,50,545,155,507.0,102.5,105.0,0.000,0.000,GREEN
32,1,473,96,546,282,509.5,189.0,186.0,0.850,0.667,YELLOW
33,2,469,51,546,159,507.5,105.0,108.0,0.000,0.000,GREEN
33,1,472,98,544,282,508.0,190.0,184.0,0.850,0.740,YELLOW
34,1,471,97,544,282,507.5,189.5,185.0,0.850,0.784,YELLOW
35,1,470,98,544,282,507.0,190.0,184.0,0.850,0.811,RED
36,1,471,99,542,283,506.5,191.0,184.0,0.850,0.826,RED
36,2,471,51,546,156,508.5,103.5,105.0,0.000,0.000,GREEN
37,2,471,50,545,156,508.0,103.0,106.0,0.000,0.000,GREEN
37,1,472,99,541,281,506.5,190.0,182.0,0.850,0.836,RED
38,2,472,50,545,159,508.5,104.5,109.0,0.000,0.000,GREEN
38,1,469,99,540,282,504.5,190.5,183.0,0.850,0.841,RED
39,1,468,99,539,282,503.5,190.5,183.0,0.850,0.845,RED
39,2,472,50,546,155,509.0,102.5,105.0,0.000,0.000,GREEN
40,2,472,50,546,156,509.0,103.0,106.0,0.000,0.000,GREEN
40,1,467,99,538,282,502.5,190.5,183.0,0.850,0.847,RED
41,2,472,50,546,156,509.0,103.0,106.0,0.000,0.000,GREEN
41,1,470,102,537,281,503.5,191.5,179.0,0.850,0.848,RED
42,1,469,102,537,281,503.0,191.5,179.0,0.850,0.849,RED
42,2,472,50,547,157,509.5,103.5,107.0,0.000,0.000,GREEN
43,2,471,50,546,156,508.5,103.0,106.0,0.000,0.000,GREEN
43,1,470,104,536,282,503.0,193.0,178.0,0.850,0.849,RED
44,2,471,50,546,152,508.5,101.0,102.0,0.000,0.000,GREEN
44,1,467,102,536,281,501.5,191.5,179.0,0.850,0.850,RED
45,2,470,49,547,153,508.5,101.0,104.0,0.000,0.000,GREEN
45,1,463,101,534,282,498.5,191.5,181.0,0.850,0.850,RED
46,2,470,50,547,157,508.5,103.5,107.0,0.000,0.000,GREEN
46,1,460,101,534,281,497.0,191.0,180.0,0.850,0.850,RED
47,2,470,50,547,157,508.5,103.5,107.0,0.000,0.000,GREEN
47,1,461,102,533,280,497.0,191.0,178.0,0.850,0.850,RED
48,2,470,49,546,158,508.0,103.5,109.0,0.000,0.000,GREEN
48,1,459,102,532,282,495.5,192.0,180.0,0.850,0.850,RED
49,2,471,49,545,154,508.0,101.5,105.0,0.000,0.000,GREEN
49,1,449,102,532,281,490.5,191.5,179.0,0.000,0.510,RED
50,2,471,49,546,151,508.5,100.0,102.0,0.000,0.000,GREEN
50,1,441,100,531,280,486.0,190.0,180.0,0.000,0.306,YELLOW
51,2,471,48,546,150,508.5,99.0,102.0,0.000,0.000,GREEN
51,1,434,100,531,279,482.5,189.5,179.0,0.000,0.184,GREEN
52,1,434,100,530,279,482.0,189.5,179.0,0.000,0.110,GREEN
52,2,471,48,546,150,508.5,99.0,102.0,0.000,0.000,GREEN
53,2,471,47,545,149,508.0,98.0,102.0,0.000,0.000,GREEN
53,1,432,101,529,279,480.5,190.0,178.0,0.000,0.066,GREEN
54,2,471,48,544,148,507.5,98.0,100.0,0.000,0.000,GREEN
54,1,429,99,529,280,479.0,189.5,181.0,0.000,0.040,GREEN
55,1,429,98,528,281,478.5,189.5,183.0,0.000,0.024,GREEN
55,2,471,47,540,147,505.5,97.0,100.0,0.000,0.000,GREEN
56,1,428,97,527,282,477.5,189.5,185.0,0.000,0.014,GREEN
56,2,471,46,541,147,506.0,96.5,101.0,0.000,0.000,GREEN
57,1,428,97,527,282,477.5,189.5,185.0,0.000,0.009,GREEN
57,2,471,46,539,145,505.0,95.5,99.0,0.000,0.000,GREEN
58,1,429,97,526,281,477.5,189.0,184.0,0.000,0.005,GREEN
58,2,471,46,538,146,504.5,96.0,100.0,0.000,0.000,GREEN
59,1,430,95,525,281,477.5,188.0,186.0,0.000,0.003,GREEN
59,2,471,45,536,144,503.5,94.5,99.0,0.000,0.000,GREEN
60,1,429,94,524,281,476.5,187.5,187.0,0.000,0.002,GREEN
60,2,471,45,534,143,502.5,94.0,98.0,0.000,0.000,GREEN
61,1,429,94,522,280,475.5,187.0,186.0,0.000,0.001,GREEN
61,2,471,44,535,147,503.0,95.5,103.0,0.000,0.000,GREEN
62,1,429,94,522,280,475.5,187.0,186.0,0.000,0.001,GREEN
62,2,471,44,536,146,503.5,95.0,102.0,0.000,0.000,GREEN
63,1,430,94,522,281,476.0,187.5,187.0,0.000,0.000,GREEN
63,2,472,44,537,142,504.5,93.0,98.0,0.000,0.000,GREEN
64,1,429,93,522,280,475.5,186.5,187.0,0.000,0.000,GREEN
64,2,471,42,538,149,504.5,95.5,107.0,0.000,0.000,GREEN
65,1,430,91,521,281,475.5,186.0,190.0,0.000,0.000,GREEN
65,2,471,42,538,144,504.5,93.0,102.0,0.000,0.000,GREEN
66,1,432,90,521,281,476.5,185.5,191.0,0.000,0.000,GREEN
66,2,471,41,537,149,504.0,95.0,108.0,0.000,0.000,GREEN
67,2,471,41,537,149,504.0,95.0,108.0,0.000,0.000,GREEN
67,1,429,89,521,281,475.0,185.0,192.0,0.000,0.000,GREEN
68,1,427,89,520,281,473.5,185.0,192.0,0.000,0.000,GREEN
68,2,471,41,533,145,502.0,93.0,104.0,0.000,0.000,GREEN
69,1,429,89,520,282,474.5,185.5,193.0,0.000,0.000,GREEN
69,2,471,40,534,148,502.5,94.0,108.0,0.000,0.000,GREEN
70,1,429,89,519,282,474.0,185.5,193.0,0.000,0.000,GREEN
70,2,471,39,533,150,502.0,94.5,111.0,0.000,0.000,GREEN
71,1,427,89,520,282,473.5,185.5,193.0,0.000,0.000,GREEN
71,2,471,39,530,151,500.5,95.0,112.0,0.000,0.000,GREEN
72,2,471,39,531,151,501.0,95.0,112.0,0.000,0.000,GREEN
72,1,426,89,520,282,473.0,185.5,193.0,0.000,0.000,GREEN
73,1,427,88,520,282,473.5,185.0,194.0,0.000,0.000,GREEN
73,2,471,38,528,151,499.5,94.5,113.0,0.000,0.000,GREEN
74,1,431,88,519,281,475.0,184.5,193.0,0.000,0.000,GREEN
74,2,471,37,527,155,499.0,96.0,118.0,0.000,0.000,GREEN
75,1,432,88,518,280,475.0,184.0,192.0,0.000,0.000,GREEN
75,2,471,37,526,155,498.5,96.0,118.0,0.000,0.000,GREEN
76,1,430,88,518,280,474.0,184.0,192.0,0.000,0.000,GREEN
76,2,471,37,524,154,497.5,95.5,117.0,0.000,0.000,GREEN
77,1,430,88,518,280,474.0,184.0,192.0,0.000,0.000,GREEN
77,2,471,37,524,154,497.5,95.5,117.0,0.000,0.000,GREEN
78,2,470,37,524,154,497.0,95.5,117.0,0.000,0.000,GREEN
78,1,425,88,519,281,472.0,184.5,193.0,0.000,0.000,GREEN
79,1,425,88,519,281,472.0,184.5,193.0,0.000,0.000,GREEN
79,2,470,36,524,153,497.0,94.5,117.0,0.000,0.000,GREEN
80,1,425,88,519,280,472.0,184.0,192.0,0.000,0.000,GREEN
80,2,470,36,524,152,497.0,94.0,116.0,0.000,0.000,GREEN
81,1,425,87,519,281,472.0,184.0,194.0,0.000,0.000,GREEN
81,2,470,36,524,142,497.0,89.0,106.0,0.000,0.000,GREEN
82,1,425,87,519,281,472.0,184.0,194.0,0.000,0.000,GREEN
82,2,470,37,524,142,497.0,89.5,105.0,0.000,0.000,GREEN
83,1,425,87,519,281,472.0,184.0,194.0,0.000,0.000,GREEN
83,2,471,36,524,135,497.5,85.5,99.0,0.000,0.000,GREEN
84,2,471,36,524,136,497.5,86.0,100.0,0.000,0.000,GREEN
84,1,426,86,519,280,472.5,183.0,194.0,0.000,0.000,GREEN
85,1,425,86,519,280,472.0,183.0,194.0,0.000,0.000,GREEN
85,2,471,36,524,137,497.5,86.5,101.0,0.000,0.000,GREEN
86,1,425,87,519,282,472.0,184.5,195.0,0.000,0.000,GREEN
86,2,470,37,524,132,497.0,84.5,95.0,0.000,0.000,GREEN
87,2,470,37,524,132,497.0,84.5,95.0,0.000,0.000,GREEN
87,1,425,87,519,282,472.0,184.5,195.0,0.000,0.000,GREEN
88,1,425,87,519,285,472.0,186.0,198.0,0.000,0.000,GREEN
88,2,470,36,524,136,497.0,86.0,100.0,0.000,0.000,GREEN
89,1,425,87,519,286,472.0,186.5,199.0,0.000,0.000,GREEN
89,2,470,36,524,133,497.0,84.5,97.0,0.000,0.000,GREEN
90,1,424,87,519,287,471.5,187.0,200.0,0.000,0.000,GREEN
90,2,470,35,524,136,497.0,85.5,101.0,0.000,0.000,GREEN
91,1,425,87,518,288,471.5,187.5,201.0,0.000,0.000,GREEN
91,2,470,35,524,139,497.0,87.0,104.0,0.000,0.000,GREEN
92,1,424,87,518,288,471.0,187.5,201.0,0.000,0.000,GREEN
92,2,470,35,525,139,497.5,87.0,104.0,0.000,0.000,GREEN
93,1,425,88,518,289,471.5,188.5,201.0,0.000,0.000,GREEN
93,2,470,34,525,135,497.5,84.5,101.0,0.000,0.000,GREEN
94,1,424,87,518,292,471.0,189.5,205.0,0.000,0.000,GREEN
94,2,470,35,525,137,497.5,86.0,102.0,0.000,0.000,GREEN
95,1,425,88,518,294,471.5,191.0,206.0,0.000,0.000,GREEN
95,2,470,34,525,138,497.5,86.0,104.0,0.000,0.000,GREEN
96,2,470,34,525,139,497.5,86.5,105.0,0.000,0.000,GREEN
96,1,425,88,518,296,471.5,192.0,208.0,0.000,0.000,GREEN
97,2,470,34,525,139,497.5,86.5,105.0,0.000,0.000,GREEN
97,1,424,87,518,296,471.0,191.5,209.0,0.000,0.000,GREEN
98,1,425,87,518,297,471.5,192.0,210.0,0.000,0.000,GREEN
98,2,470,34,525,140,497.5,87.0,106.0,0.000,0.000,GREEN
99,1,424,87,519,297,471.5,192.0,210.0,0.000,0.000,GREEN
99,2,470,35,525,137,497.5,86.0,102.0,0.000,0.000,GREEN
100,1,424,87,519,297,471.5,192.0,210.0,0.000,0.000,GREEN
100,2,470,35,525,137,497.5,86.0,102.0,0.000,0.000,GREEN
101,2,470,35,525,136,497.5,85.5,101.0,0.000,0.000,GREEN
101,1,425,89,520,295,472.5,192.0,206.0,0.000,0.000,GREEN
102,1,425,89,520,295,472.5,192.0,206.0,0.000,0.000,GREEN
102,2,470,35,526,136,498.0,85.5,101.0,0.000,0.000,GREEN
103,1,425,89,520,296,472.5,192.5,207.0,0.000,0.000,GREEN
103,2,470,35,526,137,498.0,86.0,102.0,0.000,0.000,GREEN
104,1,425,89,519,295,472.0,192.0,206.0,0.000,0.000,GREEN
104,2,470,35,526,136,498.0,85.5,101.0,0.000,0.000,GREEN
105,2,470,35,526,136,498.0,85.5,101.0,0.000,0.000,GREEN
105,1,425,90,520,295,472.5,192.5,205.0,0.000,0.000,GREEN
106,1,425,91,521,294,473.0,192.5,203.0,0.000,0.000,GREEN
106,2,470,34,526,135,498.0,84.5,101.0,0.000,0.000,GREEN
107,1,425,91,521,294,473.0,192.5,203.0,0.000,0.000,GREEN
107,2,470,34,526,135,498.0,84.5,101.0,0.000,0.000,GREEN
108,1,426,92,520,295,473.0,193.5,203.0,0.000,0.000,GREEN
108,2,470,34,526,137,498.0,85.5,103.0,0.000,0.000,GREEN
109,1,426,92,521,295,473.5,193.5,203.0,0.000,0.000,GREEN
109,2,470,34,527,135,498.5,84.5,101.0,0.000,0.000,GREEN
110,2,470,34,527,134,498.5,84.0,100.0,0.000,0.000,GREEN
110,1,426,93,523,296,474.5,194.5,203.0,0.000,0.000,GREEN
111,2,469,34,527,134,498.0,84.0,100.0,0.000,0.000,GREEN
111,1,426,93,524,296,475.0,194.5,203.0,0.000,0.000,GREEN
112,1,426,93,525,296,475.5,194.5,203.0,0.000,0.000,GREEN
112,2,469,34,526,134,497.5,84.0,100.0,0.000,0.000,GREEN
113,1,426,94,525,297,475.5,195.5,203.0,0.000,0.000,GREEN
113,2,468,34,528,132,498.0,83.0,98.0,0.000,0.000,GREEN
114,2,469,34,528,131,498.5,82.5,97.0,0.000,0.000,GREEN
114,1,427,96,526,294,476.5,195.0,198.0,0.000,0.000,GREEN
115,1,428,96,527,295,477.5,195.5,199.0,0.000,0.000,GREEN
115,2,464,34,527,132,495.5,83.0,98.0,0.000,0.000,GREEN
116,1,428,98,527,298,477.5,198.0,200.0,0.000,0.000,GREEN
116,2,445,35,527,140,486.0,87.5,105.0,0.000,0.000,GREEN
117,1,428,98,527,298,477.5,198.0,200.0,0.000,0.000,GREEN
117,2,446,35,527,141,486.5,88.0,106.0,0.000,0.000,GREEN
118,1,428,96,529,296,478.5,196.0,200.0,0.000,0.000,GREEN
118,2,443,34,528,144,485.5,89.0,110.0,0.000,0.000,GREEN
119,1,428,98,530,297,479.0,197.5,199.0,0.000,0.000,GREEN
119,2,444,34,528,140,486.0,87.0,106.0,0.000,0.000,GREEN
120,1,430,98,529,298,479.5,198.0,200.0,0.000,0.000,GREEN
120,2,469,34,528,136,498.5,85.0,102.0,0.000,0.000,GREEN
121,1,432,100,530,298,481.0,199.0,198.0,0.000,0.000,GREEN
121,2,443,34,528,147,485.5,90.5,113.0,0.000,0.000,GREEN
122,2,444,34,528,147,486.0,90.5,113.0,0.000,0.000,GREEN
122,1,432,100,530,298,481.0,199.0,198.0,0.000,0.000,GREEN
123,1,429,100,531,299,480.0,199.5,199.0,0.000,0.000,GREEN
123,2,445,33,529,144,487.0,88.5,111.0,0.000,0.000,GREEN
124,1,430,99,532,299,481.0,199.0,200.0,0.000,0.000,GREEN
124,2,444,33,530,147,487.0,90.0,114.0,0.000,0.000,GREEN
125,2,443,33,530,147,486.5,90.0,114.0,0.000,0.000,GREEN
125,1,433,100,533,299,483.0,199.5,199.0,0.000,0.000,GREEN
126,1,458,109,533,298,495.5,203.5,189.0,0.000,0.000,GREEN
126,2,441,33,530,197,485.5,115.0,164.0,0.000,0.000,GREEN
127,2,441,33,530,197,485.5,115.0,164.0,0.000,0.000,GREEN
127,1,456,109,533,298,494.5,203.5,189.0,0.000,0.000,GREEN
128,2,442,33,529,155,485.5,94.0,122.0,0.000,0.000,GREEN
128,1,431,102,534,297,482.5,199.5,195.0,0.000,0.000,GREEN
129,1,428,101,536,297,482.0,199.0,196.0,0.000,0.000,GREEN
129,2,438,33,529,158,483.5,95.5,125.0,0.000,0.000,GREEN
130,1,428,101,537,297,482.5,199.0,196.0,0.000,0.000,GREEN
130,2,440,33,529,156,484.5,94.5,123.0,0.000,0.000,GREEN
131,2,439,33,529,154,484.0,93.5,121.0,0.000,0.000,GREEN
131,1,428,103,538,297,483.0,200.0,194.0,0.000,0.000,GREEN
132,1,428,103,538,297,483.0,200.0,194.0,0.000,0.000,GREEN
132,2,439,33,529,155,484.0,94.0,122.0,0.000,0.000,GREEN
133,1,428,105,539,298,483.5,201.5,193.0,0.000,0.000,GREEN
133,2,438,33,529,160,483.5,96.5,127.0,0.000,0.000,GREEN
134,1,427,106,540,297,483.5,201.5,191.0,0.000,0.000,GREEN
134,2,473,32,532,131,502.5,81.5,99.0,0.000,0.000,GREEN
135,1,428,105,542,298,485.0,201.5,193.0,0.000,0.000,GREEN
135,2,474,33,532,128,503.0,80.5,95.0,0.000,0.000,GREEN
136,1,426,102,543,298,484.5,200.0,196.0,0.000,0.000,GREEN
136,2,440,32,530,157,485.0,94.5,125.0,0.000,0.000,GREEN
137,1,426,102,543,298,484.5,200.0,196.0,0.000,0.000,GREEN
137,2,440,32,530,157,485.0,94.5,125.0,0.000,0.000,GREEN
138,1,427,104,544,297,485.5,200.5,193.0,0.000,0.000,GREEN
138,2,442,33,533,158,487.5,95.5,125.0,0.000,0.000,GREEN
139,1,426,106,547,294,486.5,200.0,188.0,0.000,0.000,GREEN
139,2,446,32,532,156,489.0,94.0,124.0,0.000,0.000,GREEN
140,1,426,108,548,295,487.0,201.5,187.0,0.000,0.000,GREEN
140,2,443,33,533,161,488.0,97.0,128.0,0.000,0.000,GREEN
141,1,425,109,549,295,487.0,202.0,186.0,0.000,0.000,GREEN
141,2,451,33,528,158,489.5,95.5,125.0,0.000,0.000,GREEN
142,1,425,109,549,295,487.0,202.0,186.0,0.000,0.000,GREEN
142,2,451,33,529,158,490.0,95.5,125.0,0.000,0.000,GREEN
143,1,425,109,551,296,488.0,202.5,187.0,0.000,0.000,GREEN
143,2,457,34,531,161,494.0,97.5,127.0,0.000,0.000,GREEN
144,1,425,111,552,296,488.5,203.5,185.0,0.000,0.000,GREEN
145,1,428,113,552,295,490.0,204.0,182.0,0.000,0.000,GREEN
146,1,438,115,553,297,495.5,206.0,182.0,0.000,0.000,GREEN
147,1,438,115,553,297,495.5,206.0,182.0,0.000,0.000,GREEN
148,1,438,116,553,297,495.5,206.5,181.0,0.000,0.000,GREEN
149,1,429,117,554,297,491.5,207.0,180.0,0.000,0.000,GREEN
150,1,428,118,555,296,491.5,207.0,178.0,0.000,0.000,GREEN
151,1,425,118,555,295,490.0,206.5,177.0,0.000,0.000,GREEN
152,1,425,118,555,296,490.0,207.0,178.0,0.000,0.000,GREEN
153,1,427,119,556,296,491.5,207.5,177.0,0.000,0.000,GREEN
154,1,425,119,556,296,490.5,207.5,177.0,0.000,0.000,GREEN
155,1,427,119,556,294,491.5,206.5,175.0,0.000,0.000,GREEN
156,1,427,119,556,295,491.5,207.0,176.0,0.000,0.000,GREEN
157,1,427,119,556,295,491.5,207.0,176.0,0.000,0.000,GREEN
158,1,429,120,556,296,492.5,208.0,176.0,0.000,0.000,GREEN
158,2,440,32,528,229,484.0,130.5,197.0,0.000,0.000,GREEN
159,1,430,122,557,297,493.5,209.5,175.0,0.000,0.000,GREEN
159,2,442,32,529,230,485.5,131.0,198.0,0.000,0.000,GREEN
160,2,442,32,528,233,485.0,132.5,201.0,0.000,0.000,GREEN
160,1,432,123,557,299,494.5,211.0,176.0,0.000,0.000,GREEN
161,1,432,123,557,303,494.5,213.0,180.0,0.000,0.000,GREEN
162,1,433,123,557,303,495.0,213.0,180.0,0.000,0.000,GREEN
163,1,438,125,557,305,497.5,215.0,180.0,0.000,0.000,GREEN
163,2,409,132,461,309,435.0,220.5,177.0,0.000,0.000,GREEN
164,1,437,125,557,311,497.0,218.0,186.0,0.000,0.000,GREEN
164,2,409,131,463,309,436.0,220.0,178.0,0.000,0.000,GREEN
165,1,443,126,557,316,500.0,221.0,190.0,0.000,0.000,GREEN
165,2,444,32,529,236,486.5,134.0,204.0,0.000,0.000,GREEN
166,1,444,126,556,312,500.0,219.0,186.0,0.000,0.000,GREEN
166,2,446,32,530,227,488.0,129.5,195.0,0.000,0.000,GREEN
167,1,443,126,556,312,499.5,219.0,186.0,0.000,0.000,GREEN
167,2,446,32,531,226,488.5,129.0,194.0,0.000,0.000,GREEN
168,1,438,127,556,310,497.0,218.5,183.0,0.000,0.000,GREEN
168,2,440,32,530,222,485.0,127.0,190.0,0.000,0.000,GREEN
169,2,445,31,529,221,487.0,126.0,190.0,0.000,0.000,GREEN
169,1,444,129,556,304,500.0,216.5,175.0,0.000,0.000,GREEN
170,2,450,32,531,219,490.5,125.5,187.0,0.000,0.000,GREEN
170,1,469,130,556,309,512.5,219.5,179.0,0.000,0.000,GREEN
171,2,450,32,531,214,490.5,123.0,182.0,0.000,0.000,GREEN
171,1,472,131,555,297,513.5,214.0,166.0,0.000,0.000,GREEN
172,2,450,32,531,214,490.5,123.0,182.0,0.000,0.000,GREEN
172,1,472,131,555,298,513.5,214.5,167.0,0.000,0.000,GREEN
173,2,451,32,530,214,490.5,123.0,182.0,0.000,0.000,GREEN
173,1,474,132,554,291,514.0,211.5,159.0,0.000,0.000,GREEN
174,2,450,32,530,212,490.0,122.0,180.0,0.000,0.000,GREEN
174,1,473,134,553,288,513.0,211.0,154.0,0.000,0.000,GREEN
175,2,450,32,529,217,489.5,124.5,185.0,0.000,0.000,GREEN
175,1,468,135,553,290,510.5,212.5,155.0,0.000,0.000,GREEN
176,1,465,135,552,291,508.5,213.0,156.0,0.000,0.000,GREEN
176,2,449,32,529,225,489.0,128.5,193.0,0.000,0.000,GREEN
177,1,466,135,552,291,509.0,213.0,156.0,0.000,0.000,GREEN
177,2,449,32,528,224,488.5,128.0,192.0,0.000,0.000,GREEN
178,1,465,135,552,294,508.5,214.5,159.0,0.000,0.000,GREEN
178,2,451,34,525,231,488.0,132.5,197.0,0.000,0.000,GREEN
179,2,451,34,525,230,488.0,132.0,196.0,0.000,0.000,GREEN
179,1,461,135,552,309,506.5,222.0,174.0,0.000,0.000,GREEN
180,1,462,137,551,308,506.5,222.5,171.0,0.000,0.000,GREEN
180,2,452,33,528,230,490.0,131.5,197.0,0.000,0.000,GREEN
181,1,453,137,550,317,501.5,227.0,180.0,0.000,0.000,GREEN
181,2,454,33,526,147,490.0,90.0,114.0,0.000,0.000,GREEN
182,1,453,137,550,318,501.5,227.5,181.0,0.000,0.000,GREEN
182,2,454,33,528,147,491.0,90.0,114.0,0.000,0.000,GREEN
183,2,454,33,526,145,490.0,89.0,112.0,0.000,0.000,GREEN
183,1,450,139,549,309,499.5,224.0,170.0,0.000,0.000,GREEN
184,2,455,33,526,146,490.5,89.5,113.0,0.000,0.000,GREEN
184,1,454,139,549,315,501.5,227.0,176.0,0.000,0.000,GREEN
185,2,456,33,527,148,491.5,90.5,115.0,0.000,0.000,GREEN
185,1,451,140,548,314,499.5,227.0,174.0,0.850,0.340,YELLOW
186,2,455,33,527,149,491.0,91.0,116.0,0.000,0.000,GREEN
186,1,448,141,548,312,498.0,226.5,171.0,0.850,0.544,YELLOW
187,2,455,33,526,149,490.5,91.0,116.0,0.000,0.000,GREEN
187,1,448,140,548,310,498.0,225.0,170.0,1.000,0.726,YELLOW
188,1,457,141,547,297,502.0,219.0,156.0,0.850,0.776,YELLOW
188,2,448,33,526,232,487.0,132.5,199.0,0.000,0.000,GREEN
189,2,447,33,525,236,486.0,134.5,203.0,0.000,0.000,GREEN
189,1,446,140,546,311,496.0,225.5,171.0,0.850,0.806,YELLOW
190,1,445,140,546,314,495.5,227.0,174.0,0.850,0.823,RED
190,2,446,32,525,244,485.5,138.0,212.0,0.000,0.000,GREEN
191,1,445,139,546,317,495.5,228.0,178.0,0.850,0.834,RED
191,2,453,34,527,150,490.0,92.0,116.0,0.000,0.000,GREEN
192,2,453,34,527,150,490.0,92.0,116.0,0.000,0.000,GREEN
192,1,445,139,546,318,495.5,228.5,179.0,0.850,0.840,RED
193,2,452,34,527,149,489.5,91.5,115.0,0.000,0.000,GREEN
193,1,442,138,546,317,494.0,227.5,179.0,0.850,0.844,RED
194,2,452,34,527,149,489.5,91.5,115.0,0.000,0.000,GREEN
194,1,440,138,545,318,492.5,228.0,180.0,0.850,0.847,RED
195,2,452,34,526,149,489.0,91.5,115.0,0.000,0.000,GREEN
195,1,436,138,545,321,490.5,229.5,183.0,0.000,0.508,RED
196,2,452,34,527,150,489.5,92.0,116.0,0.000,0.000,GREEN
196,1,437,138,545,324,491.0,231.0,186.0,0.000,0.305,YELLOW
197,1,436,138,545,323,490.5,230.5,185.0,0.000,0.183,GREEN
197,2,452,34,527,150,489.5,92.0,116.0,0.000,0.000,GREEN
198,2,452,34,527,150,489.5,92.0,116.0,0.000,0.000,GREEN
198,1,437,138,545,327,491.0,232.5,189.0,0.000,0.110,GREEN
199,2,452,34,529,151,490.5,92.5,117.0,0.000,0.000,GREEN
199,1,436,138,543,332,489.5,235.0,194.0,0.000,0.066,GREEN
200,2,453,34,530,151,491.5,92.5,117.0,0.000,0.000,GREEN
200,1,436,138,543,337,489.5,237.5,199.0,0.000,0.039,GREEN
201,1,436,138,543,341,489.5,239.5,203.0,0.000,0.024,GREEN
201,2,453,34,531,153,492.0,93.5,119.0,0.000,0.000,GREEN
202,1,437,138,543,341,490.0,239.5,203.0,0.000,0.014,GREEN
202,2,453,34,531,153,492.0,93.5,119.0,0.000,0.000,GREEN
203,2,453,34,531,154,492.0,94.0,120.0,0.000,0.000,GREEN
